Meiosis	Chromatid	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
OMN3	5			5'							5'		5'	3'	3'	3'	
OMN3	6			3'							3'		3'	5'	5'	5'	
OMN3	7				3'	5'		5'						3'			
OMN3	8				5'	3'		3'						5'			
OMN4	1						5'	5'	5'			3'			3'	3'	
OMN4	2						3'	3'	3'			5'			5'	5'	
OMN4	3	5'				5'					5'		3'	5'			5'
OMN4	4	3'				3'					3'		5'	3'			3'
OMN4	5		5'		5'	5'		3'	5'		5'			5'			5'
OMN4	6		3'		3'	3'		5'	3'		3'			3'			3'
OMN4	7		3'	3'							5'	3'		3'			
OMN4	8		5'	5'							3'	5'		5'			
OMN5	1				5'	5'		5'							3'		5'
OMN5	2				3'	3'		3'							5'		3'
OMN5	3				5'	3'	3'	3'						5'			3'
OMN5	4				3'	5'	5'	5'						3'			5'
OMN5	5		5'		3'			3'		3'			3'				5'
OMN5	6		3'		5'			5'		5'			5'				3'
OMN5	7				5'		3'	3'		3'						3'	5'
OMN5	8				3'		5'	5'		5'						5'	3'
OMN6	1	5'	3'	3'	5'			3'	3'				3'	3'			3'
OMN6	2	3'	5'	5'	3'			5'	5'				5'	5'			5'
OMN6	3		3'		5'		3'	5'	5'				5'				3'
OMN6	4				3'		5'	3'	3'				3'				5'
OMN6	5	5'			5'	5'		3'	5'			5'		3'	3'	5'	
OMN6	6	3'			3'	3'		5'	3'			3'		5'	5'	3'	
OMN6	7		5'		3'				3'		5'		5'		3'	3'	
OMN6	8		3'		5'				5'		3'		3'		5'	5'	
TRM6	1							3'			3'		5'		5'		5'
TRM6	2							5'			5'		3'		3'		3'
TRM6	3				3'												
TRM6	4				5'												
TRM6	5		3'														
TRM6	6		5'														
TRM6	7				5'											3'	5'
TRM6	8				3'											5'	3'
TCMM15	1				3'	5'			5'		5'	3'	3'			3'	
TCMM15	2				5'	3'			3'		3'	5'	5'			5'	
TCMM15	3				3'								5'	5'			5'
TCMM15	4				5'								3'	3'			3'
TCMM15	5		3'					3'			3'		5'	3'	3'	5'	
TCMM15	6		5'					5'			5'		3'	5'	5'	3'	
TCMM15	7																
TCMM15	8																
WT1	1				5'	5'					3'	5'	5'			5'	3'
WT1	2				3'	3'					5'	3'	3'			3'	5'
WT1	3	3'			3'			3'	3'	5'			5'	5'		5'	
WT1	4	5'			5'			5'	5'	3'			3'	3'		3'	
WT1	5																
WT1	6																
WT1	7				5'			3'		5'			3'				5'
WT1	8				3'			5'		3'			5'				3'
WT2	1																
WT2	2																
WT2	3								5'							3'	
WT2	4								3'							5'	
WT2	5		5'		3'							3'	3'	5'	5'		
WT2	6		3'		5'							5'	5'	3'	3'		
WT2	7						5'			3'	3'	5'		5'	5'		5'
WT2	8						3'			5'	5'	3'		3'	3'		3'
WT3	1				5'	3'				5'	3'			5'			5'
WT3	2				3'	5'				3'	3'			3'			3'
WT3	3	3'						3'	3'							3'	3'
WT3	4	5'						5'	5'							5'	5'
WT3	5				5'						5'			5'		5'	3'
WT3	6				3'						3'			3'		3'	5'
WT3	7			5'	3'		3'	5'			3'		5'			5'	3'
WT3	8			3'	5'		5'	3'			5'		3'			3'	5'
FA1	1				3'									3'		5'	3'
FA1	2				5'									5'		3'	5'
FA1	3		5'		5'				5'		3'						5'
FA1	4		3'		3'				3'		5'						3'
FA1	5							5'		3'	3'			3'	5'		
FA1	6							3'		5'	5'			5'	3'		
FA1	7		3'					3'	5'							5'	
FA1	8		5'					5'	3'							3'	
FA2	1						3'				3'				3'	5'	
FA2	2						5'				5'				5'	3'	
FA2	3							3'				5'					5'
FA2	4							5'				3'					3'
FA2	5													5'	3'	3'	
FA2	6													3'	5'	5'	
FA2	7					3'										3'	5'
FA2	8					5'										5'	3'
FA3	1			5'	3'	5'	3'							5'	3'	3'	
FA3	2			3'	5'	3'	5'							3'	5'	5'	
FA3	3					3'					5'	5'		5'	5'		
FA3	4					5'					3'	3'		3'	3'		
FA3	5		5'		3'			3'			5'		5'	3'			5'
FA3	6		3'		5'			5'			3'		3'	5'			3'
FA3	7																
FA3	8																
FA4	1		5'		5'					3'							
FA4	2		3'		3'					5'							
FA4	3				5'							3'					
FA4	4				3'							5'					
FA4	5		5'		3'					3'							5'
FA4	6		3'		5'					5'							3'
FA4	7		3'		3'	3'			3'		3'		5'	3'			
FA4	8		5'		5'	5'			5'		5'		3'	5'			
FA5	1		5'					3'									
FA5	2		3'					5'									
FA5	3									5'	5'				3'	5'	
FA5	4									3'	3'				5'	3'	
FA5	5			3'		5'		3'		5'	3'	5'					
FA5	6			5'		3'		5'		3'	5'	3'					
FA5	7																
FA5	8																
OMOM1	1	5'	5'		3'				3'		5'	3'	5'	5'	5'	3'	3'
OMOM1	2	3'	3'		5'				5'		3'	5'	3'	3'	3'	5'	5'
OMOM1	3		3'		3'	3'		3'	5'	5'	3'	5'	5'	3'	5'	5'	3'
OMOM1	4		5'		5'	5'		5'	3'	3'	5'	3'	3'	5'	3'	3'	5'
OMOM1	5	5'		5'	5'		3'	3'	5'	3'		3'	5'	3'	3'	5'	5'
OMOM1	6	3'		3'	3'		5'	5'	3'	5'		5'	3'	5'	5'	3'	3'
OMOM1	7		3'		3'	5'	3'	3'	5'	3'	3'		3'	5'	5'	5'	5'
OMOM1	8		5'		5'	3'	5'	5'	5'	5'	5'		5'	3'	3'	3'	3'
OMOM2	1																
OMOM2	2																
OMOM2	3	3'	3'		3'	5'	5'		5'		5'	3'	3'	5'	5'	5'	5'
OMOM2	4	5'	5'		5'	3'	3'		3'		3'	5'	5'	3'	3'	3'	3'
OMOM2	5			5'	5'	3'		3'	3'	3'	5'	5'	3'	3'	3'	5'	3'
OMOM2	6			3'	3'	5'		5'	5'	5'	3'	3'	5'	5'	5'	3'	5'
OMOM2	7	3'	3'		5'	5'	3'	3'	3'		5'	3'	5'	5'	5'	3'	
OMOM2	8	5'	5'		3'	3'	5'	5'	5'		3'	5'	3'	3'	3'	5'	
OMHM1	1		3'	5'	5'	3'	3'	5'	5'		5'	3'	3'	3'		3'	
OMHM1	2		5'	3'	3'	5'	5'	3'	3'		3'	5'	5'	5'		5'	
OMHM1	3		5'	3'	5'	3'		3'		3'			5'		5'		5'
OMHM1	4		3'	5'	3'	5'		5'		5'			3'		3'		3'
OMHM1	5	3'	3'	3'	3'			5'	5'		3'	5'	3'	5'		3'	3'
OMHM1	6	5'	5'	5'	5'			3'	3'		5'	3'	5'	3'		5'	5'
OMHM1	7		3'	3'	5'			3'	3'		3'		5'		3'		5'
OMHM1	8		5'	5'	3'			5'	5'		5'		3'		5'		3'
OMHM2	1	3'			5'	5'		3'	3'	5'			3'	5'		5'	3'
OMHM2	2	5'			3'	3'		5'	5'	3'			5'	3'		3'	5'
OMHM2	3																
OMHM2	4																
OMHM2	5		3'	5'	5'	5'		3'		5'		3'		5'		3'	3'
OMHM2	6		5'	3'	3'	3'		5'		3'		5'		3'		5'	5'
OMHM2	7				3'	3'		3'	3'			5'				3'	3'
OMHM2	8				5'	5'		5'	5'			3'				5'	5'
FA6	1	5'		3'				5'					5'	3'			
FA6	2	3'		5'				3'					3'	5'			
FA6	3				3'	5'			3'			5'				3'	
FA6	4				5'	3'			5'			3'				5'	
FA6	5		5'			5'	5'	3'	3'				5'	3'		3'	
FA6	6		3'			3'	3'	5'	5'				3'	5'		5'	
FA6	7				5'	5'											
FA6	8				3'	3'											
WT4	1	5'	3'				3'		3'	5'						3'	3'
WT4	2	3'	5'				5'		5'	3'						5'	5'
WT4	3		3'									3'		5'			
WT4	4		5'									5'		3'			
WT4	5		3'				5'			3'			5'		5'		
WT4	6		5'				3'			5'			3'		3'		
WT4	7		5'		3'	3'		5'	5'				5'		5'		5'
WT4	8		3'		5'	5'		3'	3'				3'		3'		3'
WT5	1				5'	3'								3'	3'		5'
WT5	2				3'	5'								5'	5'		3'
WT5	3			3'	3'			5'	3'		5'		5'		3'		
WT5	4			5'	5'			3'	5'		3'		3'		5'		
WT5	5																
WT5	6																
WT5	7					3'							5'	5'	5'		3'
WT5	8					5'							3'	3'	3'		5'
EA1	1			5'		3'		5'			5'					5'	5'
EA1	2			3'		5'		3'			3'					3'	3'
EA1	3																
EA1	4																
EA1	5		5'		3'							5'					
EA1	6		3'		5'							3'					
EA1	7		5'					3'		5'			3'	5'			
EA1	8		3'					5'		3'			5'	3'			
EA2	1																
EA2	2																
EA2	3										5'		3'				5'
EA2	4										3'		5'				3'
EA2	5												3'				3'
EA2	6												5'				5'
EA2	7				3'								5'				5'
EA2	8				5'								3'				3'
